#time meanCourantNo maxCourantNo Ndt
1232 0.160609 0.222905 0.0891776
1240 0.160609 0.222967 0.089115
1248 0.16061 0.223021 0.0890398
1256 0.160612 0.22307 0.0889771
1264 0.160613 0.223115 0.0889548
1272 0.160614 0.22316 0.0889179
1280 0.160615 0.223207 0.0888674
1288 0.160615 0.223254 0.0888048
1296 0.160615 0.223303 0.0887316
1304 0.160615 0.223351 0.0886495
1312 0.160615 0.223397 0.0885781
1320 0.160615 0.223441 0.0885386
1328 0.160616 0.223484 0.0884873
1336 0.160617 0.223528 0.0884257
1344 0.160619 0.223575 0.0883553
1352 0.160621 0.223625 0.0882776
1360 0.160622 0.223681 0.0882197
1368 0.160624 0.223741 0.0881791
1376 0.160625 0.223805 0.0881284
1384 0.160627 0.223871 0.0880688
1392 0.160628 0.223937 0.0880018
1400 0.16063 0.224004 0.0879488
1408 0.160632 0.22407 0.0879185
1416 0.160634 0.224136 0.0878782
1424 0.160636 0.224201 0.0878556
1432 0.160638 0.224267 0.0878434
1440 0.160639 0.224333 0.0878311
1448 0.16064 0.224399 0.0878188
1456 0.16064 0.224464 0.0878067
1464 0.160639 0.224529 0.0877948
1472 0.160637 0.224593 0.0877832
1480 0.160635 0.224657 0.087772
1488 0.160632 0.224722 0.0877612
1496 0.160627 0.224787 0.0877508
1504 0.160622 0.224852 0.087741
1512 0.160616 0.224918 0.0877317
1520 0.16061 0.224985 0.087723
1528 0.160602 0.225051 0.0877149
1536 0.160594 0.225117 0.0877074
1544 0.160586 0.225183 0.0877006
1552 0.160577 0.225249 0.0876945
1560 0.160568 0.225314 0.0876891
1568 0.160559 0.225378 0.0876844
1576 0.160551 0.225442 0.0876803
1584 0.160543 0.225504 0.0876769
1592 0.160536 0.225566 0.0876741
1600 0.160529 0.225627 0.087672
1608 0.160524 0.225687 0.0876705
1616 0.16052 0.225746 0.0876695
1624 0.160517 0.225804 0.0876691
1632 0.160515 0.225861 0.0876691
1640 0.160513 0.225916 0.0876695
1648 0.160511 0.225971 0.0876704
1656 0.16051 0.226025 0.0876716
1664 0.16051 0.226078 0.087673
1672 0.16051 0.226129 0.0876747
1680 0.16051 0.22618 0.0876766
1688 0.160511 0.226229 0.0876786
1696 0.160513 0.226278 0.0876806
1704 0.160516 0.226326 0.0876827
1712 0.160518 0.226372 0.0876848
1720 0.160521 0.226418 0.0876869
1728 0.160523 0.226463 0.0876888
1736 0.160525 0.226507 0.0876906
1744 0.160526 0.22655 0.0876922
1752 0.160527 0.226592 0.0876936
1760 0.160526 0.226634 0.0876948
1768 0.160525 0.226675 0.0876958
1776 0.160523 0.226715 0.0876965
1784 0.160521 0.226754 0.0876969
1792 0.160521 0.226793 0.0876971
1800 0.16052 0.226831 0.0876969
1808 0.16052 0.226868 0.0876965
1816 0.16052 0.226904 0.0876957
1824 0.160519 0.22694 0.0876946
1832 0.160519 0.226975 0.0876932
1840 0.160519 0.227009 0.0876915
1848 0.160518 0.227042 0.0876895
1856 0.160517 0.227074 0.0876873
1864 0.160517 0.227105 0.0876847
1872 0.160516 0.227135 0.0876818
1880 0.160514 0.227163 0.0876787
1888 0.160513 0.227189 0.0876753
1896 0.160511 0.227214 0.0876716
1904 0.16051 0.227236 0.0876678
1912 0.16051 0.227256 0.0876636
1920 0.160509 0.227273 0.0876593
1928 0.160509 0.227288 0.0876548
1936 0.160508 0.2273 0.0876502
1944 0.160508 0.227309 0.0876453
1952 0.160508 0.227316 0.0876403
1960 0.160507 0.227319 0.0876352
1968 0.160507 0.227321 0.08763
1976 0.160507 0.227319 0.0876247
1984 0.160507 0.227317 0.0876193
1992 0.160508 0.227313 0.0876138
2000 0.160508 0.227309 0.0876083
2008 0.160508 0.227305 0.0876028
2016 0.160508 0.227302 0.0875973
2024 0.160508 0.227302 0.0875917
2032 0.160507 0.227305 0.0875862
2040 0.160507 0.227312 0.0875807
2048 0.160506 0.227325 0.0875753
2056 0.160505 0.227344 0.0875698
2064 0.160504 0.22737 0.0875645
2072 0.160503 0.227403 0.0875592
2080 0.160502 0.227444 0.0875539
2088 0.1605 0.227493 0.0875488
2096 0.160499 0.22755 0.0875437
2104 0.160498 0.227615 0.0875387
2112 0.160497 0.227686 0.0875338
2120 0.160496 0.227763 0.087529
2128 0.160495 0.227845 0.0875243
2136 0.160494 0.22793 0.0875197
2144 0.160493 0.228018 0.0875152
2152 0.160492 0.228105 0.0875108
2160 0.160492 0.228191 0.0875065
2168 0.160491 0.228273 0.0875023
2176 0.160492 0.228352 0.0874982
2184 0.160492 0.228425 0.0874943
2192 0.160492 0.228491 0.0874904
2200 0.160492 0.22855 0.0874867
2208 0.160492 0.228602 0.0874831
2216 0.160491 0.228645 0.0874797
2224 0.160491 0.228681 0.0874764
2232 0.160489 0.22871 0.0874732
2240 0.160488 0.228733 0.0874701
2248 0.160486 0.22875 0.0874671
2256 0.160484 0.228763 0.0874643
2264 0.160483 0.228773 0.0874615
2272 0.160481 0.228782 0.0874589
2280 0.16048 0.228791 0.0874563
2288 0.160479 0.2288 0.0874539
2296 0.160478 0.228812 0.0874515
2304 0.160477 0.228826 0.0874491
2312 0.160477 0.228843 0.0874468
2320 0.160477 0.228863 0.0874446
2328 0.160477 0.228887 0.0874423
2336 0.160477 0.228913 0.08744
2344 0.160477 0.228943 0.0874377
2352 0.160477 0.228975 0.0874354
2360 0.160476 0.229009 0.087433
2368 0.160476 0.229044 0.0874306
2376 0.160476 0.229079 0.0874282
2384 0.160476 0.229114 0.0874256
2392 0.160477 0.229149 0.087423
2400 0.160477 0.229182 0.0874204
2408 0.160478 0.229214 0.0874177
2416 0.160479 0.229244 0.0874149
2424 0.16048 0.229272 0.0874121
2432 0.160481 0.229298 0.0874093
2440 0.160482 0.229323 0.0874064
2448 0.160484 0.229347 0.0874035
2456 0.160485 0.229369 0.0874006
2464 0.160487 0.229392 0.0873977
2472 0.160489 0.229414 0.0873949
2480 0.160492 0.229436 0.087392
2488 0.160495 0.229458 0.0873891
2496 0.160498 0.229481 0.0873863
2504 0.160502 0.229504 0.0873836
2512 0.160506 0.229528 0.0873808
2520 0.16051 0.229552 0.0873781
2528 0.160515 0.229577 0.0873754
2536 0.16052 0.229602 0.0873728
2544 0.160526 0.229627 0.0873702
2552 0.160531 0.229652 0.0873676
2560 0.160538 0.229677 0.087365
2568 0.160544 0.229701 0.0873624
2576 0.16055 0.229725 0.0873598
2584 0.160557 0.229748 0.0873571
2592 0.160564 0.22977 0.0873545
