#time meanCourantNo maxCourantNo Ndt
1232 0.160386 0.202809 0.0892159
1240 0.160386 0.202873 0.0891547
1248 0.160387 0.202934 0.0890808
1256 0.160389 0.202989 0.0890153
1264 0.16039 0.203044 0.0889944
1272 0.160392 0.203098 0.0889589
1280 0.160393 0.203154 0.0889099
1288 0.160393 0.203211 0.0888488
1296 0.160393 0.203269 0.0887771
1304 0.160393 0.203325 0.0886965
1312 0.160394 0.20338 0.0886192
1320 0.160394 0.203431 0.0885812
1328 0.160395 0.203481 0.0885315
1336 0.160397 0.20353 0.0884715
1344 0.160398 0.203581 0.0884026
1352 0.1604 0.203633 0.0883263
1360 0.160402 0.203688 0.0882656
1368 0.160404 0.203746 0.0882266
1376 0.160405 0.203805 0.0881775
1384 0.160407 0.203863 0.0881195
1392 0.160409 0.203921 0.088054
1400 0.160411 0.203976 0.0879924
1408 0.160413 0.20403 0.0879637
1416 0.160415 0.204081 0.0879251
1424 0.160418 0.20413 0.0878775
1432 0.16042 0.204177 0.087854
1440 0.160421 0.204222 0.0878389
1448 0.160422 0.204265 0.087824
1456 0.160422 0.204306 0.0878095
1464 0.160421 0.204344 0.0877955
1472 0.16042 0.204381 0.087782
1480 0.160418 0.204416 0.0877691
1488 0.160414 0.20445 0.0877568
1496 0.160411 0.204482 0.0877452
1504 0.160406 0.204515 0.0877344
1512 0.1604 0.204546 0.0877243
1520 0.160393 0.204577 0.087715
1528 0.160386 0.204606 0.0877066
1536 0.160378 0.204646 0.087699
1544 0.16037 0.204697 0.0876922
1552 0.160361 0.204746 0.0876863
1560 0.160353 0.204795 0.0876812
1568 0.160344 0.204841 0.0876769
1576 0.160336 0.204887 0.0876734
1584 0.160328 0.204931 0.0876707
1592 0.160321 0.204975 0.0876687
1600 0.160315 0.205016 0.0876674
1608 0.16031 0.205057 0.0876668
1616 0.160306 0.205096 0.0876667
1624 0.160303 0.205134 0.0876672
1632 0.160301 0.205171 0.0876682
1640 0.160299 0.205207 0.0876697
1648 0.160298 0.205242 0.0876715
1656 0.160297 0.205276 0.0876736
1664 0.160296 0.205309 0.087676
1672 0.160297 0.205342 0.0876786
1680 0.160297 0.205373 0.0876813
1688 0.160299 0.205404 0.0876841
1696 0.160301 0.205434 0.0876869
1704 0.160303 0.205464 0.0876896
1712 0.160306 0.205493 0.0876923
1720 0.160309 0.205522 0.0876948
1728 0.160312 0.205549 0.0876971
1736 0.160314 0.205577 0.0876993
1744 0.160315 0.205604 0.0877011
1752 0.160316 0.205631 0.0877027
1760 0.160315 0.205657 0.087704
1768 0.160314 0.205684 0.087705
1776 0.160313 0.20571 0.0877056
1784 0.160311 0.205735 0.0877059
1792 0.160311 0.205761 0.0877058
1800 0.16031 0.205786 0.0877054
1808 0.16031 0.205811 0.0877045
1816 0.16031 0.205836 0.0877033
1824 0.16031 0.20586 0.0877018
1832 0.16031 0.205884 0.0876998
1840 0.16031 0.205907 0.0876975
1848 0.16031 0.20593 0.0876949
1856 0.160309 0.205953 0.0876919
1864 0.160309 0.205974 0.0876886
1872 0.160308 0.205995 0.087685
1880 0.160307 0.206014 0.0876811
1888 0.160306 0.206032 0.0876769
1896 0.160304 0.206049 0.0876724
1904 0.160304 0.206063 0.0876677
1912 0.160303 0.206076 0.0876628
1920 0.160303 0.206087 0.0876577
1928 0.160303 0.206095 0.0876524
1936 0.160303 0.206101 0.087647
1944 0.160303 0.206104 0.0876414
1952 0.160303 0.206105 0.0876356
1960 0.160302 0.206103 0.0876298
1968 0.160303 0.206099 0.0876239
1976 0.160303 0.206094 0.0876179
1984 0.160303 0.206086 0.0876119
1992 0.160304 0.206078 0.0876058
2000 0.160304 0.206069 0.0875998
2008 0.160305 0.206061 0.0875937
2016 0.160305 0.206053 0.0875877
2024 0.160305 0.206048 0.0875817
2032 0.160305 0.206046 0.0875757
2040 0.160304 0.206047 0.0875698
2048 0.160304 0.206053 0.087564
2056 0.160303 0.206065 0.0875583
2064 0.160302 0.206083 0.0875526
2072 0.160301 0.206108 0.087547
2080 0.1603 0.206139 0.0875415
2088 0.160299 0.206178 0.0875362
2096 0.160298 0.206224 0.0875309
2104 0.160297 0.206277 0.0875258
2112 0.160296 0.206335 0.0875207
2120 0.160295 0.206399 0.0875158
2128 0.160294 0.206467 0.087511
2136 0.160294 0.206538 0.0875063
2144 0.160293 0.20661 0.0875017
2152 0.160292 0.206683 0.0874973
2160 0.160292 0.206754 0.0874929
2168 0.160292 0.206823 0.0874887
2176 0.160292 0.206887 0.0874847
2184 0.160292 0.206947 0.0874807
2192 0.160293 0.207 0.0874769
2200 0.160293 0.207047 0.0874731
2208 0.160293 0.207087 0.0874696
2216 0.160292 0.20712 0.0874661
2224 0.160291 0.207146 0.0874628
2232 0.16029 0.207166 0.0874596
2240 0.160289 0.20718 0.0874565
2248 0.160287 0.20719 0.0874535
2256 0.160286 0.207196 0.0874507
2264 0.160284 0.207199 0.0874479
2272 0.160283 0.207201 0.0874453
2280 0.160282 0.207203 0.0874427
2288 0.160281 0.207206 0.0874402
2296 0.16028 0.207211 0.0874378
2304 0.16028 0.207218 0.0874354
2312 0.16028 0.207228 0.087433
2320 0.16028 0.207241 0.0874307
2328 0.16028 0.207257 0.0874283
2336 0.16028 0.207276 0.087426
2344 0.16028 0.207298 0.0874236
2352 0.16028 0.207322 0.0874212
2360 0.16028 0.207347 0.0874187
2368 0.16028 0.207374 0.0874162
2376 0.16028 0.207401 0.0874136
2384 0.16028 0.207429 0.087411
2392 0.16028 0.207456 0.0874082
2400 0.160281 0.207481 0.0874055
2408 0.160282 0.207506 0.0874026
2416 0.160283 0.207529 0.0873997
2424 0.160284 0.20755 0.0873967
2432 0.160285 0.20757 0.0873937
2440 0.160287 0.207588 0.0873907
2448 0.160288 0.207605 0.0873876
2456 0.16029 0.207622 0.0873846
2464 0.160292 0.207639 0.0873815
2472 0.160294 0.207655 0.0873784
2480 0.160297 0.207671 0.0873754
2488 0.1603 0.207688 0.0873723
2496 0.160303 0.207705 0.0873693
2504 0.160307 0.207723 0.0873663
2512 0.160311 0.207741 0.0873634
2520 0.160316 0.207759 0.0873605
2528 0.16032 0.207778 0.0873577
2536 0.160326 0.207797 0.0873548
2544 0.160331 0.207816 0.087352
2552 0.160337 0.207836 0.0873493
2560 0.160343 0.207855 0.0873465
2568 0.16035 0.207873 0.0873437
2576 0.160356 0.207891 0.087341
2584 0.160363 0.207908 0.0873382
2592 0.16037 0.207924 0.0873354
2600 0.160377 0.20794 0.0873326
2608 0.160384 0.207954 0.0873298
2616 0.16039 0.207968 0.0873269
2624 0.160396 0.207982 0.0873239
2632 0.160402 0.207995 0.087321
2640 0.160407 0.208007 0.0873179
2648 0.160412 0.208019 0.0873148
2656 0.160416 0.208031 0.0873117
2664 0.160419 0.208042 0.0873085
2672 0.160422 0.208053 0.0873053
2680 0.160424 0.208065 0.0873021
2688 0.160425 0.208076 0.0872988
2696 0.160425 0.208087 0.0872955
2704 0.160425 0.208098 0.0872922
2712 0.160424 0.208109 0.0872889
2720 0.160424 0.208119 0.0872856
2728 0.160422 0.20813 0.0872823
2736 0.160421 0.20814 0.087279
2744 0.16042 0.20815 0.0872758
2752 0.160419 0.20816 0.0872726
2760 0.160418 0.208169 0.0872695
2768 0.160418 0.208178 0.0872664
2776 0.160417 0.208187 0.0872633
2784 0.160416 0.208196 0.0872604
2792 0.160416 0.208204 0.0872574
